"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 05:16:41 GMT 2024","Mon Jun 24 05:16:44 GMT 2024","2248","","users.spec.ts","Users test","","","Update full user details",""
"passed","Mon Jun 24 05:16:44 GMT 2024","Mon Jun 24 05:16:46 GMT 2024","2132","","users.spec.ts","Users test","","","Delete user",""
"passed","Mon Jun 24 05:16:39 GMT 2024","Mon Jun 24 05:16:40 GMT 2024","1077","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Retrieve posts when user does not exist",""
"passed","Mon Jun 24 05:16:42 GMT 2024","Mon Jun 24 05:16:44 GMT 2024","1691","","users.spec.ts","Users test","","","Update only 1 user field",""
"passed","Mon Jun 24 05:16:38 GMT 2024","Mon Jun 24 05:16:39 GMT 2024","1153","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with [object Object] status",""
"passed","Mon Jun 24 05:16:38 GMT 2024","Mon Jun 24 05:16:39 GMT 2024","553","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with @ gender",""
"passed","Mon Jun 24 05:16:39 GMT 2024","Mon Jun 24 05:16:42 GMT 2024","3270","","posts.spec.ts","Posts test","","","Create post comments",""
"passed","Mon Jun 24 05:16:42 GMT 2024","Mon Jun 24 05:16:45 GMT 2024","2246","","users.spec.ts","Users test","","","Create user todo",""
"passed","Mon Jun 24 05:16:39 GMT 2024","Mon Jun 24 05:16:40 GMT 2024","1080","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with женский gender",""
"failed","Mon Jun 24 05:16:39 GMT 2024","Mon Jun 24 05:16:41 GMT 2024","2301","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Update only 1 user field using put method",""
"passed","Mon Jun 24 05:16:39 GMT 2024","Mon Jun 24 05:16:40 GMT 2024","1121","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Get  details of not existing user",""
"passed","Mon Jun 24 05:16:40 GMT 2024","Mon Jun 24 05:16:41 GMT 2024","1246","","schemaValidations.spec.ts","Schema validation tests","","","Posts schema validation",""
"passed","Mon Jun 24 05:16:36 GMT 2024","Mon Jun 24 05:16:38 GMT 2024","1285","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with empty email",""
"passed","Mon Jun 24 05:16:36 GMT 2024","Mon Jun 24 05:16:38 GMT 2024","1676","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with empty status",""
"passed","Mon Jun 24 05:16:43 GMT 2024","Mon Jun 24 05:16:45 GMT 2024","2200","","users.spec.ts","Users test","","","Get user details",""
"passed","Mon Jun 24 05:16:37 GMT 2024","Mon Jun 24 05:16:38 GMT 2024","1095","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with Alice status",""
"passed","Mon Jun 24 05:16:37 GMT 2024","Mon Jun 24 05:16:39 GMT 2024","1128","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with @ status",""
"passed","Mon Jun 24 05:16:42 GMT 2024","Mon Jun 24 05:16:43 GMT 2024","1088","","users.spec.ts","Users test","","","Create user post",""
"passed","Mon Jun 24 05:16:40 GMT 2024","Mon Jun 24 05:16:41 GMT 2024","1181","","schemaValidations.spec.ts","Schema validation tests","","","Users schema validation",""
"passed","Mon Jun 24 05:16:36 GMT 2024","Mon Jun 24 05:16:38 GMT 2024","1485","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with wrong email: 1223",""
"passed","Mon Jun 24 05:16:38 GMT 2024","Mon Jun 24 05:16:39 GMT 2024","467","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with 1223 gender",""
"passed","Mon Jun 24 05:16:36 GMT 2024","Mon Jun 24 05:16:38 GMT 2024","1601","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with wrong email: Alice",""
"passed","Mon Jun 24 05:16:43 GMT 2024","Mon Jun 24 05:16:45 GMT 2024","1569","","users.spec.ts","Users test","","","Retrieves user posts when user does not have any posts",""
"passed","Mon Jun 24 05:16:40 GMT 2024","Mon Jun 24 05:16:44 GMT 2024","4317","","posts.spec.ts","Posts test","","","Get post comments",""
"passed","Mon Jun 24 05:16:40 GMT 2024","Mon Jun 24 05:16:41 GMT 2024","1200","","schemaValidations.spec.ts","Schema validation tests","","","Comments schema validation",""
"passed","Mon Jun 24 05:16:41 GMT 2024","Mon Jun 24 05:16:42 GMT 2024","1089","","users.spec.ts","Users test","","","Create user",""
"passed","Mon Jun 24 05:16:38 GMT 2024","Mon Jun 24 05:16:39 GMT 2024","1352","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with Alice gender",""
"passed","Mon Jun 24 05:16:36 GMT 2024","Mon Jun 24 05:16:37 GMT 2024","1573","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with empty name",""
"passed","Mon Jun 24 05:16:41 GMT 2024","Mon Jun 24 05:16:42 GMT 2024","1096","","schemaValidations.spec.ts","Schema validation tests","","","Todos schema validation",""
"passed","Mon Jun 24 05:16:36 GMT 2024","Mon Jun 24 05:16:37 GMT 2024","1474","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with wrong email: @",""
"passed","Mon Jun 24 05:16:44 GMT 2024","Mon Jun 24 05:16:47 GMT 2024","3180","","users.spec.ts","Users test","","","Retrieves user posts when user has some posts",""
"passed","Mon Jun 24 05:16:38 GMT 2024","Mon Jun 24 05:16:39 GMT 2024","1169","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with 1223 status",""
"passed","Mon Jun 24 05:16:39 GMT 2024","Mon Jun 24 05:16:40 GMT 2024","1170","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with   gender",""
"passed","Mon Jun 24 05:16:38 GMT 2024","Mon Jun 24 05:16:39 GMT 2024","1143","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with sdsd,sdsd status",""
"passed","Mon Jun 24 05:16:39 GMT 2024","Mon Jun 24 05:16:40 GMT 2024","1136","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Delete not existing user",""
"passed","Mon Jun 24 05:16:40 GMT 2024","Mon Jun 24 05:16:44 GMT 2024","3731","","posts.spec.ts","Posts test","","","Delete post",""
"passed","Mon Jun 24 05:16:36 GMT 2024","Mon Jun 24 05:16:38 GMT 2024","2561","","negative/invalidUsersRequests.spec.ts","Users test negative scenarious","","","Create user with existing email",""
